# qx                      qy                      qz                      omega                   d2dos                   d2dos1                  d2dos2                  n2dos                   n2dos1                  n2dos2
  0.5000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1689373125604E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.5000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1749531271414E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.5000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1829889020726E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.5000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.2138373890371E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.5000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.2138373890371E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.5000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.2179483530011E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
 -0.4000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.8226229230860E+02     0.9000000000000E+01     0.9000000000000E+01     0.0000000000000E+00     0.4021912685590E+01     0.4021912685590E+01     0.0000000000000E+00
 -0.4000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.8226230593840E+02     0.9000000000000E+01     0.9000000000000E+01     0.0000000000000E+00     0.4021912685590E+01     0.4021912685590E+01     0.0000000000000E+00
 -0.4000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1592456129119E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
 -0.4000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1717586040221E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
